English Title	Original Title	Year	Duration(min)	Decade	Country	Director	Director's Gender	Writer	Writer's Gender	DP	DP's Gender	Producer	Producer's Gender	Genre	Wikidata ID	IMDb ID
La Jetée	La Jetée	1962	28	1960s	FRA	Chris Marker	male	Chris Marker	male	Chris Marker	male	Anatole Dauman	male	Drama/ Romance	Q451434	tt0056119
Cléo de 5 à 7	Cléo de 5 à 7	1962	90	1960s	FRA/ ITA	Agnès Varda	female	Agnès Varda	female	Jean Rabier/ Alain Levent	male/ male	Georges de Beauregard	male	Comedy/ Drama/ Music	Q1199628	tt0055852
The Leopard	Il Gattopardo	1963	183	1960s	FRA/ ITA	Luchino Visconti	male	Suso Cecchi d'Amico/ Pasquale Festa Campanile/ Enrico Medioli/ Massimo Franciosa/ Luchino Visconti	female/ male/ male/ male/ male	Giuseppe Rotunno	male	Goffredo Lombardo	male	Drama/ History	Q596623	tt0057091
Scorpio Rising	Scorpio Rising	1963	28	1960s	USA	Kenneth Anger	male	Kenneth Anger/ Ernest D. Glucksman	male/ male					Music	Q647939	tt0058555
The Birds	The Birds	1963	115	1960s	USA	Alfred Hitchcock	male	Ed McBain/ Daphne du Maurier	male/ female	Robert Burks	male	Alfred Hitchcock	male	Drama/ Horror/ Mystery	Q110043	tt0056869
Contempt	Le Mépris	1963	102	1960s	FRA/ ITA	Jean-Luc Godard	male	Jean-Luc Godard	male	Raoul Coutard	male	Carlo Ponti/ Georges de Beauregard/ Joseph E. Levine	male/ male/ male	Drama/ Romance	Q598109	tt0057345
Barren Lives	Vidas Secas	1963	103	1960s	BRA	Nelson Pereira dos Santos	male	Nelson Pereira dos Santos/ Graciliano Ramos	male/ male	Luiz Carlos Barreto	male	Luiz Carlos Barreto	male	Drama	Q2192521	tt0057654
8½	8½	1963	138	1960s	FRA/ ITA	Federico Fellini	male	Ennio Flaiano/ Tullio Pinelli/ Brunello Rondi/ Federico Fellini	male/ male/ male/ male	Gianni Di Venanzo	male	Angelo Rizzoli	male	Drama	Q12018	tt0056801
Mothlight	Mothlight	1963	4	1960s	USA	Stan Brakhage	male							Short	Q3325160	tt0057324
Dog Star Man	Dog Star Man	1961	78	1960s	USA	Stan Brakhage	male	Stan Brakhage	male	Stan Brakhage	male	Stan Brakhage	male	Documentary/ Horror/ Mystery	Q4666933	tt5896468
Flaming Creatures	Flaming Creatures	1963	45	1960s	USA	Jack Smith	male	Jack Smith	male					Comedy/ Drama/ Horror	Q947538	tt0054880
Andrei Rublev	Andrey Rublyóv	1966	185	1960s	SUN	Andrei Tarkovsky	male	Andrei Tarkovsky/ Andrei Konchalovsky	male/ male	Vadim Yusov	male			Biography/ Drama/ History	Q503046	tt0060107
Gertrud	Gertrud	1965	119	1960s	DNK	Carl Theodor Dreyer	male	Carl Theodor Dreyer	male	Henning Bendtsen	male	Jørgen Nielsen	male	Drama/ Romance	Q1253821	tt0058138
Blow Job	Blow Job	1964	35	1960s	USA	Andy Warhol	male					Andy Warhol	male	Documentary	Q885485	tt0130515
The Umbrellas of Cherbourg	Les Parapluies de Cherbourg	1964	91	1960s	DEU/ FRA	Jacques Demy	male	Jacques Demy	male	Jean Rabier	male	Mag Bodard	female	Drama/ Musical/ Romance	Q163868	tt0058450
Dr. Strangelove	Dr. Strangelove or How I Learned to Stop Worrying and Love the Bomb	1964	93	1960s	GBR/ USA	Stanley Kubrick	male	Peter George/ Terry Southern/ Stanley Kubrick/ James B. Harris	male/ male/ male/ male	Gilbert Taylor	male	Stanley Kubrick	male	Comedy/ War	Q105702	tt0057012
Fuses	Fuses	1964	22	1960s	USA	Carolee Schneemann	female							Short		tt0141114
Yesterday Girl	Abschied von Gestern	1966	88	1960s	DEU	Alexander Kluge	male	Alexander Kluge	male	Thomas Mauch/ Edgar Reitz	male/ male			Drama	Q321957	tt0060063
Repulsion	Repulsion	1965	104	1960s	GBR	Roman Polanski	male	Roman Polanski/ Gérard Brach	male/ male	Gilbert Taylor	male	Gene Gutowski	male	Drama/ Horror/ Thriller	Q954816	tt0059646
Now	Now	1965	5	1960s	CUB	Santiago Alvarez	male							Documentary		tt0059520
Blowup	Blowup	1966	111	1960s	GBR/ ITA	Michelangelo Antonioni	male	Tonino Guerra/ Michelangelo Antonioni/ Edward Bond/ Julio Cortázar	male/ male/ male/ male	Carlo Di Palma	male	Carlo Ponti	male	Drama/ Mystery/ Thriller	Q658204	tt0060176
The Battle of Algiers	La Bataille d'alger	1966	117	1960s	DZA/ ITA	Gillo Pontecorvo	male	Gillo Pontecorvo/ Saadi Yacef/ Franco Solinas	male/ male/ male	Marcello Gatti	male	Antonio Musu	male	Drama/ War	Q784812	tt0058946
Come Drink with Me	Dàzuì Xiá	1966	91	1960s	HKG	King Hu	male	King Hu	male			Run Run Shaw	male	Action/ Crime	Q1170354	tt0059079
Teesri Kasam	Teesri Kasam	1966	159	1960s	IND	Basu Bhattacharya	male	Nabendu Ghosh	male	Subrata Mitra	male	Shailendra	male	Comedy/ Drama/ Romance	Q1552909	tt0061072
Persona	Persona	1966	84	1960s	SWE	Ingmar Bergman	male	Ingmar Bergman	male	Sven Nykvist	male	Ingmar Bergman	male	Drama/ Thriller	Q695255	tt0060827
Chelsea Girls	Chelsea Girls	1966	195	1960s	USA	Paul Morrissey/ Andy Warhol	male/ male	Ronald Tavel	male	Andy Warhol	male	Andy Warhol	male	Drama	Q1973928	tt0061465
Au Hasard Balthazar	Au Hasard Balthazar	1966	95	1960s	FRA/ SWE	Robert Bresson	male	Robert Bresson	male	Ghislain Cloquet	male	Mag Bodard	female	Drama	Q228937	tt0060138
Daisies	Sedmikrásky	1966	74	1960s	CSK	Věra Chytilová	female	Pavel Juráček/ Ester Krumbachová/ Věra Chytilová	male/ female/ female	Jaroslav Kučera	male	Ladislav Fikar	male	Comedy	Q910705	tt0060959
Hold Me While I'm Naked	Hold Me While I'm Naked	1966	17	1960s	USA	George Kuchar	male	George Kuchar	male					Comedy/ Drama	Q20001594	tt0060511
Our Trip to Africa	Unsere Afrikareise	1966	13	1960s	AUT	Peter Kubelka	male							Short	Q64768564	tt0376293
Playtime	Playtime	1967	126	1960s	FRA/ ITA	Jacques Tati	male	Jacques Tati/ Art Buchwald	male/ male	Jean Badal/ Andréas Winding	male/ male			Comedy	Q1454574	tt0062136
Entranced Earth	Terra em Transe	1967	111	1960s	BRA	Glauber Rocha	male	Glauber Rocha	male	Luiz Carlos Barreto	male	Glauber Rocha	male	Drama	Q1848967	tt0062352
Bonnie and Clyde	Bonnie and Clyde	1967	107	1960s	USA	Arthur Penn	male	Robert Benton/ Robert Towne/ David Newman/ David Newman	male/ male/ male/ male	Burnett Guffey	male	Warren Beatty	male	Action/ Biography/ Crime	Q181776	tt0061418
The Graduate	The Graduate	1967	102	1960s	USA	Mike Nichols	male	Calder Willingham/ Buck Henry/ Charles Webb	male/ male/ male	Robert L. Surtees	male	Lawrence Turman/ Joseph E. Levine	male/ male	Comedy/ Drama/ Romance	Q217627	tt0061722
Wavelength	Wavelength	1967	44	1960s	CAN	Michael Snow	male	Michael Snow	male	Michael Snow	male			Drama	Q2423867	tt0127354
15 / 67: TV	15 / 67: TV	1967	4	1960s	AUT	Kurt Kren	male							Short		tt0157256
The Chronicle of Anna Magdalena Bach	Chronik der Anna Magdalena Bach	1968	94	1960s	DEU/ ITA	Jean-Marie Straub/ Danièle Huillet	male/ female	Jean-Marie Straub/ Danièle Huillet	male/ female			Gian Vittorio Baldi/ Franz Seitz Jr./ Jean-Marie Straub/ Danièle Huillet	male/ male/ male/ female	Biography/ Drama/ History	Q1114312	tt0062804
If…	If....	1968	111	1960s	GBR	Lindsay Anderson	male	David Sherwin	male	Miroslav Ondříček	male	Michael Medwin	male	Crime/ Drama	Q1346745	tt0063850
Night of the Living Dead	Night of the Living Dead	1968	96	1960s	USA	George A. Romero	male	John A. Russo/ George A. Romero	male/ male	George A. Romero	male	Karl Hardman/ Russell Streiner	male/ male	Horror/ Thriller	Q623051	tt0063350
Rohfilm	Rohfilm	1968	20	1960s	DEU	Birgit Hein/ Wilhelm Hein	female/ male							Short	Q47317455	tt2575420
Lucía	Lucía	1968	160	1960s	CUB	Humberto Solás	male	Julio García Espinosa/ Humberto Solás	male/ male	Jorge Herrero	male			Drama	Q4269760	tt0064609
Memories of Underdevelopment	Memorias del subdesarrollo	1968	97	1960s	CUB	Tomás Gutiérrez Alea	male	Tomás Gutiérrez Alea/ Edmundo Desnoes	male/ male					Drama	Q2645467	tt0063291
Teorema	Teorema	1968	98	1960s	ITA	Pier Paolo Pasolini	male	Pier Paolo Pasolini	male	Giuseppe Ruzzolini	male	Donato Leoni	male	Drama/ Mystery	Q914157	tt0063678
The Color of Pomegranates	Nřan guynə	1968	79	1960s	SUN	Sergei Parajanov	male	Sergei Parajanov	male	Suren Shakhbazyan	male			Biography/ Drama/ History	Q2235380	tt0063555
Deux Fois	Deux Fois	1968	115	1960s	FRA	Jackie Raynal	female			André Weinfeld	male			Drama	Q5266371	tt0294525
Three Sad Tigers	Tres tristes tigres	1968	100	1960s	CHL	Raúl Ruiz	male	Raúl Ruiz	male					Drama	Q5262922	tt0063718
The Girls	Flickorna	1968	100	1960s	SWE	Mai Zetterling	female	David Hughes/ Mai Zetterling	male/ female	Rune Ericson	male	Göran Lindgren	male	Comedy/ Drama	Q1142923	tt0062981
The Cat Has Nine Lives	Neun Leben hat die Katze	1968	91	1960s	DEU	Ula Stöckl	female	Ula Stöckl	female	Dietrich Lohmann/ Thomas Mauch	male/ male			Drama	Q19571197	tt0130141
Death by Hanging	Koshikei	1968	117	1960s	JPN	Nagisa Ōshima	male	Nagisa Ōshima	male			Nagisa Ōshima	male	Comedy/ Crime/ Drama	Q926134	tt0063198
2001: A Space Odissey	2001: A Space Odyssey	1968	143	1960s	GBR/ USA	Stanley Kubrick	male	Arthur C. Clarke/ Stanley Kubrick	male/ male	Geoffrey Unsworth	male	Stanley Kubrick	male	Adventure/ Sci-Fi	Q103474	tt0062622
The Sorrow and the Pity	Le Chagrin et la Pitié	1969	251	1960s	DEU/ FRA	Marcel Ophuls	male	Marcel Ophuls/ André Harris	male/ male			Charles-Henri Favrod	male	Documentary/ History/ War	Q638892	tt0066904
Kes	Kes	1969	106	1960s	GBR	Ken Loach	male	Barry Hines/ Ken Loach/ Tony Garnett	male/ male/ male	Chris Menges	male	Tony Garnett	male	Drama/ Family	Q1500326	tt0064541
Katzelmacher	Katzelmacher	1969	88	1960s	DEU	Rainer Werner Fassbinder	male	Rainer Werner Fassbinder	male	Dietrich Lohmann	male	Rainer Werner Fassbinder	male	Drama	Q567519	tt0064536
Salesman	Salesman	1969	91	1960s	USA	Albert Maysles/ David Maysles	male/ male							Documentary/ Drama	Q2586674	tt0064921
Eika Katappa	Eika Katappa	1969	144	1960s	DEU	Werner Schroeter	male	Werner Schroeter	male					Comedy/ Drama	Q3049378	tt0064280
Tom, Tom, the Piper's Son	Tom, Tom, the Piper's Son	1969	115	1960s	USA	Ken Jacobs	male							Comedy	Q4445366	tt0378889
My Night at Maud's	Ma nuit chez Maud	1969	110	1960s	FRA	Éric Rohmer	male	Éric Rohmer	male	Néstor Almendros	male	Barbet Schroeder/ Pierre Cottrell	male/ male	Comedy/ Drama/ Romance	Q542527	tt0064612
The Wild Bunch	The Wild Bunch	1969	145	1960s	USA	Sam Peckinpah	male	Sam Peckinpah/ Walon Green	male/ male	Lucien Ballard	male	Phil Feldman	male	Action/ Adventure/ Western	Q994481	tt0065214
Reason Over Passion	La Raison Avant La Passion	1969	80	1960s	CAN	Joyce Wieland	female	Joyce Wieland/ Pierre Trudeau	female/ male							tt0129333
Blood of the Condor	Yawar Mallku	1969	70	1960s	BOL	Jorge Sanjinés	male	Jorge Sanjinés/ Óscar Soria	male/ male	Antonio Eguino Arteaga	male			Crime/ Drama	Q4927841	tt0065228
Early Works	Rani Radovi	1969	87	1960s	YUG	Želimir Žilnik	male	Želimir Žilnik	male					Comedy/ Drama	Q2026238	tt0064874
The Conformist	Il conformista	1970	111	1970s	DEU/ FRA/ ITA	Bernardo Bertolucci	male	Bernardo Bertolucci	male	Vittorio Storaro	male	Giovanni Bertolucci	male	Drama	Q1198812	tt0065571
The Hour of the Furnaces	La Hora de los Hornos	1968	264	1960s	ARG	Octavio Getino/ Fernando Solanas	male/ male	Octavio Getino/ Fernando E. Solanas	male/ male	Juan Carlos Desanzo	male			Documentary/ History/ War	Q3950846	tt0063084
Five Easy Pieces	Five Easy Pieces	1970	96	1970s	USA	Bob Rafelson	male	Carole Eastman/ Bob Rafelson	female/ male	László Kovács	male	Bob Rafelson	male	Drama	Q1116991	tt0065724
Zorns Lemma	Zorns Lemma	1970	60	1970s	USA	Hollis Frampton	male							Documentary	Q8074498	tt0131149
It Is Not the Homosexual Who Is Perverse, But the Society in Which He Lives	Nicht der Homosexuelle ist pervers, sondern die Situation, in der er lebt	1970	67	1970s	DEU	Rosa von Praunheim	male	Rosa von Praunheim/ Martin Dannecker	male/ male	Robert van Ackeren	male	Werner Kließ	male	Documentary/ Drama	Q457675	tt0066136
W.R.: Mysteries of the Organism	W.R. Misterije Organizma	1971	84	1970s	DEU	Dušan Makavejev	male	Dušan Makavejev	male			Dušan Makavejev	male	Comedy/ Drama/ Fantasy	Q2587098	tt0067958
Dirty Harry	Dirty Harry	1971	102	1970s	USA	Don Siegel	male	Harry Julian Fink/ Dean Riesner/ John Milius/ Terrence Malick/ R.M. Fink	male/ male/ male/ male/ female	Bruce Surtees	male	Don Siegel/ Robert Daley	male/ male	Action/ Crime/ Thriller	Q110206	tt0066999
Wanda	Wanda	1971	102	1970s	USA	Barbara Loden	female	Barbara Loden	female					Crime/ Drama	Q381528	tt0067961
The Godfather	The Godfather	1972	175	1970s	ITA/ USA 	Francis Ford Coppola	male	Mario Puzo/ Francis Ford Coppola	male/ male	Gordon Willis	male	Albert S. Ruddy	male	Crime/ Drama	Q47703	tt0068646
Nathalie Granger	Nathalie Granger	1972	83	1970s	FRA	Marguerite Duras	female	Marguerite Duras	female	Ghislain Cloquet	male	Jean-Michel Carré/ Luc Moullet	male/ male	Drama	Q478423	tt0068991
Pakeezah	Pakeezah	1972	146	1970s	IND	Kamal Amrohi	male	Kamal Amrohi	male	Josef Wirsching/ R. D. Mathur	male/ male	Kamal Amrohi	male	Musical/ Romance/ Drama	Q851395	tt0067546
The Discreet Charm of the Bourgeoisie	Le Charme discret de la bourgeoisie	1972	96	1970s	ESP/ FRA/ ITA	Luis Buñuel	male	Luis Buñuel/ Jean-Claude Carrière	male/ male	Edmond Richard	male	Serge Silberman	male	Comedy	Q308920	tt0068361
Cabaret	Cabaret	1972	124	1970s	USA	Bob Fosse	male	Jay Presson Allen/ John Van Druten	female/ male	Geoffrey Unsworth	male	Cy Feuer	male	Drama/ Music/ Musical	Q918363	tt0068327
Aguirre, the Wrath of God	Aguirre, der Zorn Gnepes	1972	91	1970s	DEU/ MEX	Werner Herzog	male	Werner Herzog	male	Thomas Mauch	male	Werner Herzog	male	Action/ Adventure/ Biography	Q325662	tt0068182
Fist of Fury	Jing wu me	1972	115	1970s	HKG	Lo Wei	male	Lo Wei/ Bruce Lee	male/ male			Raymond Chow	male	Action/ Drama/ Romance	Q253565	tt0068767
The Legend of Paul and Paula	Die Legende von Paul und Paula	1973	105	1970s	DDR	Heiner Carow	male	Heiner Carow/ Ulrich Plenzdorf	male/ male	Jürgen Brauer	male	Erich Albrecht	male	Drama/ Romance	Q457003	tt0070299
Day for Night 	La Nuit américaine	1973	115	1970s	FRA/ ITA	François Truffaut	male	François Truffaut/ Suzanne Schiffman/ Jean-Louis Richard	male/ female/ male	Pierre-William Glenn	male	Marcel Berbert/ François Truffaut	male/ male	Comedy/ Drama/ Romance	Q909816	tt0070460
The Conversation	The Conversation	1974	109	1970s	USA	Francis Ford Coppola	male	Francis Ford Coppola	male	Bill Butler/ Haskell Wexler	male/ male	Francis Ford Coppola	male	Drama/ Mystery/ Thriller	Q1009788	tt0071360
The Godfather Part II	The Godfather Part II	1974	202	1970s	USA	Francis Ford Coppola	male	Mario Puzo/ Francis Ford Coppola	male/ male	Gordon Willis	male	Francis Ford Coppola/ Fred Roos	male/ male	Crime/ Drama	Q184768	tt0071562
Ali: Fear Eats the Soul	Angst essen Seele auf	1974	93	1970s	DEU	Rainer Werner Fassbinder	male	Rainer Werner Fassbinder	male	Jürgen Jürges	male	Rainer Werner Fassbinder	male	Drama/ Romance	Q543810	tt0071141
Celine and Julie Go Boating	Céline et Julie vont en bateau	1974	193	1970s	FRA	Jacques Rivette	male	Jacques Rivette/ Eduardo de Gregorio/ Juliet Berto/ Bulle Ogier/ Marie-France Pisier	male/ male/ female/ female/ female	Jacques Renard	male	Barbet Schroeder	male	Comedy/ Drama/ Fantasy	Q734672	tt0071381
Chinatown	Chinatown	1974	131	1970s	USA	Roman Polanski	male	Robert Towne/ Roman Polanski	male/ male	John A. Alonzo	male	Robert Evans	male	Drama/ Mystery/ Thriller	Q644987	tt0071315
Hearts and Minds		1974	112	1970s	USA	Peter Davis	male			Richard Pearce	male	Bert Schneider	male	Documentary/ History/ War	Q3280602	tt0071604
A Woman Under the Influence	A Woman Under the Influence	1974	155	1970s	USA	John Cassavetes	male	John Cassavetes	male	Al Ruban	male	Sam Shaw	male	Drama/ Romance	Q1306380	tt0072417
Der Nachtportier	The Night Porter	1974	118	1970s	ITA	Liliana Cavani	female	Liliana Cavani/ Italo Moscati	female/ male	Alfio Contini	male			Drama	Q312565	tt0071910
Film About a Woman Who...		1974	90	1970s	USA	Yvonne Rainer	female	Yvonne Rainer	female					Drama	Q105491643	tt0071497
Primate		1974	105	1970s	USA	Frederick Wiseman	male	Frederick Wiseman	male					Documentary	Q3403168	tt0072032
Jaws	Jaws	1975	124	1970s	USA	Steven Spielberg	male	Peter Benchley/ Carl Gottlieb	male/ male	Bill Butler	male	Richard D. Zanuck/ David Brown	male/ male	Adventure/ Thriller	Q189505	tt0073195
"One Flew Over the Cuckoo's Nest
"	One Flew Over the Cuckoo's Nest	1975	133	1970s	USA	Miloš Forman	male	Bo Goldman/ Lawrence Hauben	male/ male	Haskell Wexler	male	Saul Zaentz/ Michael Douglas	male/ male	Drama	Q171669	tt0073486
India Song		1975	120	1970s	FRA	Marguerite Duras	female	Marguerite Duras	female	Bruno Nuytten	male			Drama/ Fantasy/ Romance	Q3007766	tt0073166
Jeanne Dielman, 23 quai du Commerce, 1080 Bruxelles 	Jeanne Dielman, 23 quai du Commerce, 1080 Bruxelles 	1975	201	1970s	BEL/ FRA	Chantal Akerman	female	Chantal Akerman	female	Babette Mangolte	female			Drama	Q1686012	tt0073198
Taxi Driver	Taxi Driver	1976	114	1970s	USA	Martin Scorsese	male	Paul Schrader	male	Michael Chapman	male	Julia Phillips/ Michael Phillips	female/ male	Crime/ Drama	Q47221	tt0075314
Raise Ravens 	Cría cuervos	1976	112	1970s	ESP	Carlos Saura	male	Carlos Saura	male	Teodoro Escamilla	male	Elías Querejeta	male	Drama	Q150881	tt0074360
Sholay	Sholay	1975	204	1970s	IND	Ramesh Sippy	male	Salim-Javed	male	Dwarka Divecha	male	G. P. Sippy	male	Action/ Adventure/ Comedy	Q949228	tt0073707
The Travelling Players 	O Thiassos	1975	230	1970s	GRC	Thodoros Angelopoulos	male	Thodoros Angelopoulos/ Petros Markaris	male/ male	Giorgos Arvanitis	male			Drama/ History/ Music	Q2162663	tt0073800
Lost, Lost, Lost		1975	178	1970s	USA	Jonas Mekas	male							Documentary		tt0209110
Seven Beauties	Pasqualino Settebellezze	1975	115	1970s	ITA	Lina Wertmüller	female	Lina Wertmüller	female	Tonino Delli Colli	male	Lina Wertmüller	female	Comedy/ Drama/ War	Q1634805	tt0075040
All the President’s Men	"All the President’s Men
"	1976	138	1970s	USA	Alan J. Pakula	male	William Goldman	male	Gordon Willis	male	Walter Coblenz	male	Drama/ History/ Thriller	Q466781	tt0074119
In the Realm of the Senses	Ai no korīda	1976	105	1970s	FRA/ JPN	Nagisa Ōshima	male	Nagisa Ōshima	male			Anatole Dauman	male	Drama/ Romance	Q510181	tt0074102
Jonah Who Will Be 25 in the Year 2000	Jonas qui aura 25 ans en l'an 2000	1976	110	1970s	CHE/ FRA	Alain Tanner	male	John Berger	male	Renato Berta	male			Drama	Q670633	tt0074718
Nashville	Nashville	1975	159	1970s	USA	Robert Altman	male	Joan Tewkesbury	female	Paul Lohmann	male	Robert Altman	male	Comedy/ Drama/ Music	Q1424258	tt0073440
Invisible Adversaries	Unsichtbare Gegner	1978	109	1970s	AUT	Valie Export	female	Valie Export	female			Valie Export	female	Drama	Q3414263	tt0076204
Kings of the Road 	Im Lauf der Zeit	1976	168	1970s	DEU	Wim Wenders	male	Wim Wenders	male	Robby Müller	male	Wim Wenders	male	Drama	Q706444	tt0073152
Killer of Sheep	Killer of Sheep	1977	83	1970s	USA	Charles Burnett	male	Charles Burnett	male	Charles Burnett	male	Charles Burnett	male	Drama	Q1752684	tt0076263
Man of Marble 	Człowiek z marmuru	1977	157	1970s	POL	Andrzej Wajda	male	Aleksander Ścibor-Rylski	male	Edward Kłosiński	male			Drama	Q1195506	tt0075902
Saturday Night Fever	Saturday Night Fever	1977	118	1970s	USA	John Badham	male	Norman Wexler/ Nik Cohn	male/ male	Ralf D. Bode	male	Robert Stigwood	male	Drama/ Music	Q47654	tt0076666
Annie Hall	Annie Hall	1977	93	1970s	USA	Woody Allen	male	Woody Allen/ Marshall Brickman	male/ male	Gordon Willis	male	Charles H. Joffe/ Jack Rollins	male/ male	Comedy/ Romance	Q233464	tt0075686
Ceddo		1977	120	1970s	FRA	Ousmane Sembène	male	Ousmane Sembène	male					Drama	Q5057031	tt0077309
Perfumed Nightmare		1977	93	1970s	PHL	Kidlat Tahimik	male	Kidlat Tahimik	male					Comedy/ Drama	Q25106516	tt0076341
Colloque de chiens	Colloque de chiens	1977	22	1970s	FRA	Raúl Ruiz	male	Nicole Muchnik/ Raúl Ruiz	female/ male					Short	Q2983534	tt0075863
Star Wars	Star Wars	1977	121	1970s	USA	George Lucas	male	George Lucas	male	Gilbert Taylor	male	Gary Kurtz/ Rick McCallum/ George Lucas	male/ male/ male	Action/ Adventure/ Fantasy	Q17738	tt0076759
Riddles of the Sphinx	Riddles of the Sphinx	1977	92	1970s	GBR	Laura Mulvey/ Peter Wollen	female/ male	Laura Mulvey/ Peter Wollen	female/ male					Drama	Q17426184	tt0076625
Madame X. Eine Absolute Herrscherin		1978	147	1970s	DEU	Ulrike Ottinger	female	Ulrike Ottinger	female					Fantasy	Q106717082	tt0076349
The Marriage of Maria Braun	Die Ehe der Maria Braun	1979	115	1970s	DEU	Rainer Werner Fassbinder	male	Rainer Werner Fassbinder/ Kurt Raab/ Peter Märthesheimer/ Pea Fröhlich	male/ male/ male/ female	Michael Ballhaus	male	Michael Fengler	male	Drama	Q699490	tt0079095
The All-Around Reduced Personality: Outtakes	Die allseitig reduzierte Persönlichkeit – Redupers	1978	98	1970s	DEU	Helke Sander	female	Helke Sander	female					Drama	Q22690567	tt0077150
